step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.9980046600087905,0.28027867556212005,0.2796111396797933,0.0006675358823267743,1.698267835341394,1.6992528698090463,0.0,,,,0.0,0.0,0.0,2.1102075126171114,0.0365700841726773,0.073604503495706,2.1102075126171114,0.0,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.9940206147712892,0.28049112104100643,0.27883574000524824,0.0016553810357581825,1.696360731538385,1.6988030352257193,0.0,,,,0.0,0.0,0.0,2.0415549393892287,0.10128238840401173,0.2045097514241934,2.0415549393892287,0.0,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.9900524738848302,0.28118403383961416,0.2772033888238948,0.0039806450157193465,1.6925471291057765,1.6984210088346154,0.0,,,,0.0,0.0,0.0,2.0705174496173857,0.16274608037620783,0.3331910100132227,2.0705174496173857,0.0,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.9861001738590744,0.28064815875829663,0.27689315474661996,0.0037550040116766468,1.6906230730190872,1.6960937367416917,0.0,,,,0.0,0.0,0.0,2.0830014789104463,0.22371089474856853,0.46182769629359244,2.0830014789104463,0.0,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.9821636514571371,0.281919241458294,0.27561298724205696,0.0063062542162369934,1.6886003317702563,1.6982296928055585,0.0,,,,0.0,0.0,0.0,2.0884620504379274,0.2823922469764948,0.5891027558743954,2.0884620504379274,0.0,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.9782428436945758,0.28157499635370914,0.2754139284628909,0.006161067890818231,1.6876425416413694,1.6965132994093002,0.0,,,,0.0,0.0,0.0,2.0897882685661315,0.340618086963892,0.7177044147253037,2.0897882685661315,0.0,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.974337687838383,0.2815369598120451,0.2745391522697173,0.006997807542327791,1.684481592617929,1.6949440250191838,0.0,,,,0.0,0.0,0.0,2.0903291749954223,0.3986112571358681,0.8482374729514122,2.0903291749954223,0.0,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.9704481214059815,0.2824422906206455,0.27375607182830575,0.008686218792339787,1.683005554633215,1.695650561599061,0.0,,,,0.0,0.0,0.0,2.089508986949921,0.45452811470627785,0.9775864859223365,2.089508986949921,0.0,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.9665740821642254,0.2824034446564037,0.272830916660605,0.009572527995798736,1.6802702228333801,1.694604378817603,0.0,,,,0.0,0.0,0.0,2.089133861064911,0.5112061496973038,1.1075402140021324,2.089133861064911,0.0,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.962715508128404,0.2826859262735816,0.2719428856599843,0.010743040613597259,1.6778061232659967,1.6938881550263614,0.0,,,,0.0,0.0,0.0,2.0863691668510436,0.5646833592355252,1.2398879148960114,2.0863691668510436,0.0,,,,,,,,,,,,,,,,,,,,,
11000,0.8004904999999999,0.9588723375612509,0.28368095816264394,0.2710744770807214,0.01260648108192254,1.676841068143025,1.6951704555116593,0.0,,,,0.0,0.0,0.0,2.0833350071907044,0.6166389751434326,1.370194610953331,2.0833350071907044,0.0,,,,,,,,,,,,,,,,,,,,,
12000,0.7814904999999999,0.9550445089719546,0.2838162423936883,0.2702323747242335,0.013583867669454776,1.6740131053961813,1.6940655462965368,0.0,,,,0.0,0.0,0.0,2.081243686914444,0.6716082671284676,1.5058334212303162,2.081243686914444,0.0,,,,,,,,,,,,,,,,,,,,,
13000,0.7624905,0.951231961115176,0.283912361681927,0.2690823090140475,0.0148300526678795,1.6710967497490345,1.69301512545906,0.0,,,,0.0,0.0,0.0,2.078689692974091,0.7243467519879341,1.6407890961170197,2.078689692974091,0.0,,,,,,,,,,,,,,,,,,,,,
14000,0.7434904999999999,0.9474346329900684,0.2842090367741184,0.26856501738226507,0.01564401939185336,1.6694275798127056,1.6924653952680528,0.0,,,,0.0,0.0,0.0,2.075660458803177,0.7752221289277077,1.7771802034378053,2.075660458803177,0.0,,,,,,,,,,,,,,,,,,,,,
15000,0.7244905,0.9436524638393006,0.2846337007879047,0.2675804980098037,0.01705320277810097,1.6669537933804095,1.6924684223849327,0.0,,,,0.0,0.0,0.0,2.072234347343445,0.8269748342633247,1.9184152739048004,2.072234347343445,0.0,,,,,,,,,,,,,,,,,,,,,
16000,0.7054905,0.9398853931480853,0.2850984958918998,0.26655533000372816,0.018543165888171644,1.6645242033451795,1.692016771674156,0.0,,,,0.0,0.0,0.0,2.0689795660972594,0.8775840948224067,2.0586586027145386,2.0689795660972594,0.0,,,,,,,,,,,,,,,,,,,,,
17000,0.6864905,0.9361333606432114,0.2853665597072104,0.26580995171307586,0.01955660799413454,1.6628768287952989,1.6917848919648677,0.0,,,,0.0,0.0,0.0,2.0651728587150573,0.9249840135574341,2.1999065482616427,2.0651728587150573,0.0,,,,,,,,,,,,,,,,,,,,,
18000,0.6674905,0.9323963062920787,0.28603836730564947,0.26416920113342346,0.021869166172225958,1.6591667550150304,1.6915402982905507,0.0,,,,0.0,0.0,0.0,2.061906845569611,0.9768034983873367,2.34914919257164,2.061906845569611,0.0,,,,,,,,,,,,,,,,,,,,,
19000,0.6484905,0.9286741703017377,0.28616356674255805,0.26409881612390745,0.022064750618650576,1.6578335983529686,1.6904202532488852,0.0,,,,0.0,0.0,0.0,2.0573444714546203,1.0240810992121696,2.497521544456482,2.0573444714546203,0.0,,,,,,,,,,,,,,,,,,,,,
20000,0.6294905000000001,0.9249668931179333,0.2861946869092062,0.2633841913816286,0.022810495527577586,1.6565149723030628,1.6900273293815553,0.0,,,,0.0,0.0,0.0,2.0533975207805635,1.069432739675045,2.642671818256378,2.0533975207805635,0.0,,,,,,,,,,,,,,,,,,,,,
21000,0.6104905,0.9212744154241513,0.28743102530587933,0.26170859289052895,0.02572243241535034,1.65260389540717,1.6904547628201545,0.0,,,,0.0,0.0,0.0,2.049466086626053,1.119669180572033,2.8024748764038088,2.049466086626053,0.0,,,,,,,,,,,,,,,,,,,,,
22000,0.5914905,0.9175966781406701,0.28725625493365803,0.26094966974470296,0.026306585188955067,1.6505163733698427,1.6891391640491784,0.0,,,,0.0,0.0,0.0,2.0453858828544615,1.1671012921333312,2.960084041595459,2.0453858828544615,0.0,,,,,,,,,,,,,,,,,,,,,
23000,0.5724905000000001,0.9139336224236146,0.28703178781981115,0.26054347136733125,0.026488316452479923,1.6486698124911636,1.6879585757944733,0.0,,,,0.0,0.0,0.0,2.040319415807724,1.210373652935028,3.116151799440384,2.040319415807724,0.0,,,,,,,,,,,,,,,,,,,,,
24000,0.5534905,0.910285189664015,0.2881635601825546,0.25897721005347557,0.029186350129079074,1.6453012005295604,1.6885216255933047,0.0,,,,0.0,0.0,0.0,2.03507764673233,1.2555351943969726,3.2834307041168214,2.03507764673233,0.0,,,,,,,,,,,,,,,,,,,,,
25000,0.5344905,0.9066513214868696,0.2879887774582021,0.25888360674108846,0.029105170717113653,1.64438881810382,1.6866956494413317,0.0,,,,0.0,0.0,0.0,2.0304568483829497,1.3021769067049027,3.453566393136978,2.0304568483829497,0.0,,,,,,,,,,,,,,,,,,,,,
26000,0.5154905,0.9030319597502098,0.28867742604995145,0.2578007229224313,0.03087670312752016,1.6417122125551105,1.6870001805033534,0.0,,,,0.0,0.0,0.0,2.0243948308229447,1.3424143606424332,3.6240905582904817,2.0243948308229447,0.0,,,,,,,,,,,,,,,,,,,,,
27000,0.4964905,0.8994270465441707,0.2895382254032884,0.2561862091779476,0.03335201622534078,1.6387837486043573,1.6879240663629025,0.0,,,,0.0,0.0,0.0,2.0192126343250276,1.3852082448005676,3.7950582778453827,2.0192126343250276,0.0,,,,,,,,,,,,,,,,,,,,,
28000,0.4774905,0.8958365241900641,0.28959973275125955,0.25602645450469574,0.03357327824656386,1.6376515944339336,1.6867761716581882,0.0,,,,0.0,0.0,0.0,2.013275194644928,1.4274477103948593,3.973647623300552,2.013275194644928,0.0,,,,,,,,,,,,,,,,,,,,,
29000,0.4584905,0.8922603352394556,0.29011494653997943,0.25488061260676476,0.03523433393321466,1.6348623794782906,1.686346316114068,0.0,,,,0.0,0.0,0.0,2.006902104973793,1.4716567908525466,4.167224452257156,2.006902104973793,0.0,,,,,,,,,,,,,,,,,,,,,
30000,0.4394905,0.888698422473246,0.2902025584279327,0.2541791743037757,0.03602338412415702,1.632959513442591,1.6857469410449266,0.0,,,,0.0,0.0,0.0,1.9995182427167892,1.5076662834882737,4.352074656486511,1.9995182427167892,0.0,,,,,,,,,,,,,,,,,,,,,
31000,0.4204905,0.8851507289007549,0.2904983284519985,0.252778948055231,0.03771938039676752,1.629538835087791,1.684604494886473,0.0,,,,0.0,0.0,0.0,1.9929647845029832,1.550998564004898,4.557093071937561,1.9929647845029832,0.0,,,,,,,,,,,,,,,,,,,,,
32000,0.4014905,0.8816171977588092,0.2914464317483362,0.2521374570392072,0.03930897470912896,1.6282625886201858,1.6856113245952875,0.0,,,,0.0,0.0,0.0,1.9858614829778671,1.5868351233005524,4.748976374149323,1.9858614829778671,0.0,,,,,,,,,,,,,,,,,,,,,
33000,0.3824905,0.8780977725108359,0.29131623421539554,0.2513501419967506,0.039966092218644916,1.625456421500072,1.6837472062092274,0.0,,,,0.0,0.0,0.0,1.9778806961774826,1.6259956250190735,4.963999843597412,1.9778806961774826,0.0,,,,,,,,,,,,,,,,,,,,,
34000,0.3634905,0.8745923968459551,0.29178186118777377,0.2504290080781793,0.04135285310959443,1.6234996721912176,1.6834947422854603,0.0,,,,0.0,0.0,0.0,1.9706586163043975,1.6621709458827973,5.17447287607193,1.9706586163043975,0.0,,,,,,,,,,,,,,,,,,,,,
35000,0.3444905,0.871101014678082,0.29229684776312204,0.24923921239410993,0.04305763536901213,1.6206577845215797,1.6832828413639218,0.0,,,,0.0,0.0,0.0,1.9624141105413437,1.6981726781129838,5.400188625812531,1.9624141105413437,0.0,,,,,,,,,,,,,,,,,,,,,
36000,0.3254905,0.8676235701450273,0.29264499409869316,0.24786401313869283,0.044780980960000306,1.6170494225993752,1.6820610843133181,0.0,,,,0.0,0.0,0.0,1.9544938426017762,1.7368381723165511,5.642178260803223,1.9544938426017762,0.0,,,,,,,,,,,,,,,,,,,,,
37000,0.3064905,0.8641600076076043,0.2930174687471008,0.24752579885954037,0.04549166988756042,1.616255098797381,1.6819999358672648,0.0,,,,0.0,0.0,0.0,1.9465203859806062,1.7671454650163652,5.870000387191772,1.9465203859806062,0.0,,,,,,,,,,,,,,,,,,,,,
38000,0.2874905,0.8607102716487381,0.2932134668191429,0.24626472173095681,0.04694874508818612,1.6133042338769883,1.6809174272473901,0.0,,,,0.0,0.0,0.0,1.9387655552625656,1.80080120241642,6.1158589839935305,1.9387655552625656,0.0,,,,,,,,,,,,,,,,,,,,,
39000,0.2684905,0.8572743070725806,0.2938911308381939,0.24529670476797036,0.04859442607022356,1.61135717157647,1.6814078257437794,0.0,,,,0.0,0.0,0.0,1.9309082143306733,1.8301690536737443,6.3598441548347475,1.9309082143306733,0.0,,,,,,,,,,,,,,,,,,,,,
40000,0.24949050000000006,0.8538520589036245,0.2946371468194993,0.24430981045006775,0.050327336369431576,1.6090771228875964,1.6816796637102962,0.0,,,,0.0,0.0,0.0,1.9225783799886704,1.860034989953041,6.627168714523315,1.9225783799886704,0.0,,,,,,,,,,,,,,,,,,,,,
41000,0.23049050000000004,0.8504434723858263,0.294196843186277,0.2436640821248293,0.050532761061447676,1.606781332826242,1.6793239360358565,0.0,,,,0.0,0.0,0.0,1.9148169263601302,1.8894834755659102,6.899698902606964,1.9148169263601302,0.0,,,,,,,,,,,,,,,,,,,,,
42000,0.21149050000000005,0.8470484929817292,0.29499858830834275,0.24237931377871427,0.05261927452962845,1.6042427655085922,1.6797707435358316,0.0,,,,0.0,0.0,0.0,1.9076447994709016,1.919529983639717,7.18493488740921,1.9076447994709016,0.0,,,,,,,,,,,,,,,,,,,,,
43000,0.19249050000000006,0.8436670663715902,0.29561969423654955,0.24141094843391328,0.05420874580263626,1.6014850326385348,1.679415961386636,0.0,,,,0.0,0.0,0.0,1.8996422452926636,1.9491426289081573,7.498449791908264,1.8996422452926636,0.0,,,,,,,,,,,,,,,,,,,,,
44000,0.17349050000000002,0.8402991384525115,0.2956332883649738,0.24041228887671603,0.0552209994882578,1.598953730624169,1.6777280229255558,0.0,,,,0.0,0.0,0.0,1.891788432955742,1.97338583111763,7.807801547527313,1.891788432955742,0.0,,,,,,,,,,,,,,,,,,,,,
45000,0.15449050000000006,0.8369446553375742,0.29611887798749376,0.23946891001437326,0.05664996797312051,1.5969503634683788,1.6776662689540536,0.0,,,,0.0,0.0,0.0,1.8845220866203307,1.996524134159088,8.11779862165451,1.8845220866203307,0.0,,,,,,,,,,,,,,,,,,,,,
46000,0.13549050000000004,0.8336035633549772,0.29584631567122416,0.23841233572678175,0.057433979944442395,1.5935793303065002,1.6753934854231776,0.0,,,,0.0,0.0,0.0,1.8764800071716308,2.019768712282181,8.467169928550721,1.8764800071716308,0.0,,,,,,,,,,,,,,,,,,,,,
47000,0.11649050000000004,0.8302758090471772,0.29640165020897985,0.23752458607882726,0.058877064130152576,1.5916104724369944,1.6752615017332138,0.0,,,,0.0,0.0,0.0,1.8685505467653274,2.0359320287704468,8.799584570884704,1.8685505467653274,0.0,,,,,,,,,,,,,,,,,,,,,
48000,0.09749050000000004,0.826961339170035,0.2968708108244464,0.2363669666693313,0.060503844155115075,1.588925391567871,1.675032043699175,0.0,,,,0.0,0.0,0.0,1.860071863412857,2.052539425969124,9.157081285476684,1.860071863412857,0.0,,,,,,,,,,,,,,,,,,,,,
49000,0.07849050000000005,0.8236601006919612,0.29707788218848874,0.23544004880159627,0.06163783338689245,1.586523651299998,1.6740288467425852,0.0,,,,0.0,0.0,0.0,1.850931870341301,2.067470731973648,9.532469309806824,1.850931870341301,0.0,,,,,,,,,,,,,,,,,,,,,
50000,0.05949050000000004,0.8203720407930698,0.2977038615043275,0.23403901144047268,0.06366485006385483,1.5836393836326896,1.6740609344597905,0.0,,,,0.0,0.0,0.0,1.8416132006645203,2.0833867624998095,9.929032299041747,1.8416132006645203,0.0,,,,,,,,,,,,,,,,,,,,,
51000,0.050000000000000044,0.8170971068643323,0.29793464090465566,0.23335935695911758,0.0645752839455381,1.5819556834008546,1.6735796175729483,0.0,,,,0.0,0.0,0.0,1.8308547048568726,2.0884096373319627,10.309300094604492,1.8308547048568726,0.0,,,,,,,,,,,,,,,,,,,,,
