step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.9980046600087905,0.2878087055167416,0.26041556491481604,0.02739314060192555,1.6554015844482928,1.6981703609582037,2.088521647837854,,,,2.088521647837854,0.0,0.0,2.594655207157135,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.9940206147712892,0.30376398474595045,0.2209756640585838,0.08278832068736665,1.568318969467655,1.698842993805185,0.945677109303013,,,,0.945677109303013,0.0,0.0,2.0076486768722535,,,,,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.9900524738848302,0.30793320201244206,0.22666586383932735,0.0812673381731147,1.5797059007342904,1.6976260791104287,0.9462282023122234,,,,0.9462282023122234,0.0,0.0,1.5300617745518685,,,,,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.9861001738590744,0.31098549738992004,0.24298991322086658,0.06799558416905348,1.6150224438477307,1.6981225321888924,0.9708786811679602,,,,0.9708786811679602,0.0,0.0,0.5075959828794002,,,,,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.9821636514571371,0.310950547745917,0.2443044836348854,0.06664606411103159,1.6171808014772833,1.697372404616326,0.976694526210908,,,,0.976694526210908,0.0,0.0,0.3949082086086273,,,,,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.9782428436945758,0.310403584631742,0.2435355796974618,0.06686800493428018,1.6156115276943892,1.6971096478141845,0.9634506702423096,,,,0.9634506702423096,0.0,0.0,0.5738035527765751,,,,,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.974337687838383,0.3101131436659489,0.24511269265285227,0.06500045101309661,1.6183868179731071,1.6955143406949937,0.9593980562302374,,,,0.9593980562302374,0.0,0.0,0.31997162069380286,,,,,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.9704481214059815,0.3096979874362005,0.24610720747581216,0.06359077996038832,1.6199445887226611,1.6941593887209891,0.9703167472034693,,,,0.9703167472034693,0.0,0.0,0.16846584418416025,,,,,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.9665740821642254,0.3097525066511007,0.24538382260792424,0.06436868404317647,1.6184213271252812,1.6945638157147913,0.9649099150011616,,,,0.9649099150011616,0.0,0.0,0.274918784186244,,,,,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.962715508128404,0.30876890252216255,0.24656345286848955,0.06220544965367299,1.6195849636550992,1.692182054663077,0.9573088672853285,,,,0.9573088672853285,0.0,0.0,0.25923038548231125,,,,,,,,,,,,,,,,,,,,,,,,,
11000,0.8004904999999999,0.9588723375612509,0.3091303192761261,0.2470446629371727,0.06208565633895341,1.6209417318813504,1.6926482358668,0.9580083124099239,,,,0.9580083124099239,0.0,0.0,0.1403193883895874,,,,,,,,,,,,,,,,,,,,,,,,,
12000,0.7814904999999999,0.9550445089719546,0.30887288173567506,0.24704627296410037,0.061826608771574684,1.6209072223287075,1.6920906348116695,0.9616375900804996,,,,0.9616375900804996,0.0,0.0,0.10815254651755095,,,,,,,,,,,,,,,,,,,,,,,,,
13000,0.7624905,0.951231961115176,0.3081911075946409,0.24736950429400895,0.06082160330063198,1.6208775562290103,1.6906139914616942,0.9568640762759794,,,,0.9568640762759794,0.0,0.0,0.11036697952449322,,,,,,,,,,,,,,,,,,,,,,,,,
14000,0.7434904999999999,0.9474346329900684,0.3083481481351191,0.24735949393128975,0.06098865420382935,1.6208830050658434,1.6908561634756625,0.9554312498338761,,,,0.9554312498338761,0.0,0.0,0.09015414629131556,,,,,,,,,,,,,,,,,,,,,,,,,
15000,0.7244905,0.9436524638393006,0.3082173509359127,0.24748492730304134,0.06073242363287136,1.6210028801318257,1.6905207552611827,0.9506872623197494,,,,0.9506872623197494,0.0,0.0,0.07152261741831899,,,,,,,,,,,,,,,,,,,,,,,,,
16000,0.7054905,0.9398853931480853,0.3076957904746523,0.24773536806867924,0.059960422405973074,1.6212099371496589,1.6894346143323928,0.9530472327023745,,,,0.9530472327023745,0.0,0.0,0.04678990485146642,,,,,,,,,,,,,,,,,,,,,,,,,
17000,0.6864905,0.9361333606432114,0.30745486698043534,0.24793086802307515,0.059523998957360165,1.6211832982618362,1.6888219189401716,0.9528001969860446,,,,0.9528001969860446,0.0,0.0,0.04293346500769257,,,,,,,,,,,,,,,,,,,,,,,,,
