step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.9980046600087905,0.2799529016176239,0.27949209629488175,0.0004608053227420896,1.6976611948348581,1.6983410924207418,0.008846015064045787,0.008046673929318786,,0.007993411520496011,0.008846015064045787,0.27540291192020233,0.34313981808605604,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.9940206147712892,0.2806622671987861,0.2785339338959893,0.0021283333027968185,1.696264467963949,1.6990597377046943,0.00790854923427105,0.007250232731923461,,0.0065831649526953695,0.00790854923427105,0.5920885604023933,0.6691141993999481,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.9900524738848302,0.28060103438806255,0.27806692319992,0.0025341111881425605,1.6937210571747274,1.6972246795482933,0.007679666299372912,0.007091620264574885,,0.005880460426211357,0.007679666299372912,0.8883836414813996,0.9764496508836746,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.9861001738590744,0.280596090379986,0.2780279047207441,0.0025681856592418627,1.6937852332144976,1.6970230711176992,0.00810741464421153,0.007530263397842646,,0.005771512739360333,0.00810741464421153,1.194127961218357,1.2770998376011848,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.9821636514571371,0.28158250741299706,0.27665344503032974,0.0049290623826673255,1.6900279357936234,1.6969225699324162,0.007797931220382452,0.007219948275014758,,0.005779829630628228,0.007797931220382452,1.4702784997224807,1.556923992395401,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.9782428436945758,0.2813351862860145,0.2770137679167092,0.00432141836930532,1.6904353898968547,1.6960319824405015,0.008215844456106425,0.007642690420150757,,0.005731540532782674,0.008215844456106425,1.7144076550006866,1.7928657488822937,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.974337687838383,0.2816482730153948,0.27593896057037637,0.005709312445018441,1.6873579909708352,1.695280038749799,0.007183060163632036,0.0066097907908260825,,0.00573269385099411,0.007183060163632036,1.9596710646152495,2.0387431185245513,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.9704481214059815,0.28255415946687573,0.27532999802124686,0.007224161445628851,1.6864268387760968,1.6955633798241616,0.007257028099149466,0.006683574087917804,,0.0057345400881022215,0.007257028099149466,2.1779222222566603,2.25233336353302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.9665740821642254,0.28256076204474084,0.2733508195722243,0.00920994247251656,1.6812340671736747,1.6942259850241244,0.007191113697364926,0.006614876765757799,,0.005762369161471725,0.007191113697364926,2.394426042318344,2.4687213900089264,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.962715508128404,0.2830757827993948,0.2724408755860059,0.010634907213388943,1.6788498837724328,1.6936562755554914,0.006859846714884043,0.006287197045981884,,0.005726496685296297,0.006859846714884043,2.5884704008102415,2.6618999338150022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
11000,0.8004904999999999,0.9588723375612509,0.2835753752881428,0.2726211150039453,0.010954260284197517,1.6797743757739663,1.6945008502136916,0.0071136032789945606,0.006541471792384982,,0.0057213149461895225,0.0071136032789945606,2.7705539417266847,2.840150392532349,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
12000,0.7814904999999999,0.9550445089719546,0.28445991609699556,0.27083964736480265,0.013620268732192926,1.6755545302312822,1.6946733979266138,0.006897946201264858,0.006326221752911806,,0.005717244420200586,0.006897946201264858,2.978608018398285,3.0512900826930998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
13000,0.7624905,0.951231961115176,0.2832146652494557,0.2719360864077462,0.011278578841709531,1.6768059526085854,1.6914010496921836,0.007033347051590681,0.006464464288204908,,0.005688827706500888,0.007033347051590681,3.1481931426525116,3.2195513668060305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
14000,0.7434904999999999,0.9474346329900684,0.28433128498296717,0.26861240270966663,0.015718882273300552,1.6696655144598336,1.6927765862829984,0.006690823215991259,0.0061174268089234825,,0.005733964087441564,0.006690823215991259,3.318541713476181,3.3864697740077974,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
15000,0.7244905,0.9436524638393006,0.28382421577279454,0.270283304470242,0.013540911302552559,1.6727992203217,1.6919386710282416,0.006793274641036988,0.006223498117178678,,0.005697765283286572,0.006793274641036988,3.4821521136760714,3.5476121509075167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
16000,0.7054905,0.9398853931480853,0.285270457633771,0.27018995546246877,0.015080502171302215,1.6728470484390854,1.6929624529331924,0.006792602218687534,0.006225118981674314,,0.005674832325428724,0.006792602218687534,3.639533527135849,3.7096455297470095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
17000,0.6864905,0.9361333606432114,0.2856109547801316,0.2681450714471284,0.017465883333003147,1.6675337950121611,1.6917431172542274,0.006635695684701204,0.00607201081328094,,0.005636848594993353,0.006635695684701204,3.7907372534275057,3.860247477054596,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
18000,0.6674905,0.9323963062920787,0.28571727048396134,0.26616341833700424,0.019553852146957068,1.663133532691747,1.690840421527624,0.00654418384283781,0.005983979409560561,,0.005602044450119138,0.00654418384283781,3.9270320916175843,3.996725477218628,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
19000,0.6484905,0.9286741703017377,0.2867189926484134,0.2645628966217628,0.02215609602665063,1.659889638600871,1.6913810706399381,0.006591286325827241,0.006028079917654395,,0.005632064079865814,0.006591286325827241,4.052394115924836,4.117639720916748,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
20000,0.6294905000000001,0.9249668931179333,0.28603293624555226,0.2671323971573729,0.018900539088179357,1.664507253676653,1.6907786677535623,0.00632388386875391,0.005761413654312491,,0.005624701986089348,0.00632388386875391,4.175860266208649,4.24684911108017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21000,0.6104905,0.9212744154241513,0.2872313442371087,0.2641629316288745,0.023068412608234213,1.6575666029807181,1.6899770786836743,0.006318159459158778,0.005752898642793298,,0.0056526082400232555,0.006318159459158778,4.288761440277099,4.353648653507233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
22000,0.5914905,0.9175966781406701,0.2874389856281923,0.2644975662215147,0.022941419406677595,1.658281615652144,1.69054920982942,0.0065324201527982954,0.0059705920107662675,,0.005618281310424209,0.0065324201527982954,4.407417335987091,4.475233906269073,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
23000,0.5724905000000001,0.9139336224236146,0.2863194819736527,0.26667966194776815,0.019639820025884547,1.662175740821287,1.6879186172485352,0.006177627369761467,0.005621226139366627,,0.005564012343063951,0.006177627369761467,4.508171639442444,4.571870955944061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
