mode,cell_id,cell_label,session,n,k,m,alpha,beta,delta,mu,xi,seed,convergence_window,max_periods,eval_periods,converged,periods_to_convergence,detected_cycle_length,profit_gain_mean,p_n,p_m,discrete_nash_action_0,discrete_nash_action_1,discrete_monopoly_action_0,discrete_monopoly_action_1,discrete_nash_price_0,discrete_nash_price_1,discrete_monopoly_price_0,discrete_monopoly_price_1,pi_n_0,pi_n_1,pi_m_0,pi_m_1,wall_time_seconds,run_started_at,run_completed_at,code_version,dirty_worktree,long_run_avg_price_0,long_run_avg_price_1,long_run_avg_profit_0,long_run_avg_profit_1,profit_gain_delta_0,profit_gain_delta_1,last_price_0,last_price_1
representative,0,representative:alpha=0.15:beta=4e-06,0,2,1,15,0.15,4e-06,0.95,0.25,0.1,10000,10000000,10000000,100000,False,10000000,2,0.8398883566613407,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.272430000000895,2026-05-30T18:08:57.897728+00:00,2026-05-30T18:09:03.170203+00:00,unknown,,1.7764488053508016,1.7570750513927127,0.31140993060133704,0.32596193414837943,0.7778360639147305,0.9019406494079509,1.776448805350491,1.8151963132636324
representative,0,representative:alpha=0.15:beta=4e-06,1,2,1,15,0.15,4e-06,0.95,0.25,0.1,10001,10000000,10000000,100000,False,10000000,1,0.9695789049973705,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.3953537000015785,2026-05-30T18:08:57.899728+00:00,2026-05-30T18:09:03.295202+00:00,unknown,,1.853943821178618,1.853943821178618,0.33389292341312954,0.33389292341312954,0.9695789049973705,0.9695789049973705,1.8539438211767738,1.8539438211767738
representative,0,representative:alpha=0.15:beta=4e-06,2,2,1,15,0.15,4e-06,0.95,0.25,0.1,10002,10000000,10000000,100000,False,10000000,2,0.9488643308350324,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.259304600000178,2026-05-30T18:08:57.900728+00:00,2026-05-30T18:09:03.159202+00:00,unknown,,1.8539438211750052,1.8733175751309743,0.3401045273581617,0.3228235044971544,1.0225536400813893,0.8751750215886756,1.9314388370030566,1.9314388370030566
representative,0,representative:alpha=0.15:beta=4e-06,3,2,1,15,0.15,4e-06,0.95,0.25,0.1,10003,10000000,10000000,100000,False,10000000,1,0.9476184238284344,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.3715637999994215,2026-05-30T18:08:57.915729+00:00,2026-05-30T18:09:03.287200+00:00,unknown,,1.853943821178618,1.8151963132630151,0.3133526901945411,0.3492831615917269,0.7944045984981742,1.1008322491586946,1.8539438211767738,1.8151963132636324
representative,0,representative:alpha=0.15:beta=4e-06,4,2,1,15,0.15,4e-06,0.95,0.25,0.1,10004,10000000,10000000,100000,False,10000000,1,0.9809839251393688,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.321356599997671,2026-05-30T18:08:57.917728+00:00,2026-05-30T18:09:03.239203+00:00,unknown,,1.892691329091976,1.853943821178618,0.3167084369424495,0.35375202328186994,0.8230235826691915,1.138944267609546,1.892691329089915,1.8539438211767738
representative,0,representative:alpha=0.15:beta=4e-06,5,2,1,15,0.15,4e-06,0.95,0.25,0.1,10005,10000000,10000000,100000,False,10000000,1,0.9695789049973705,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,5.32622099999935,2026-05-30T18:08:57.937728+00:00,2026-05-30T18:09:03.263201+00:00,unknown,,1.853943821178618,1.853943821178618,0.33389292341312954,0.33389292341312954,0.9695789049973705,0.9695789049973705,1.8539438211767738,1.8539438211767738
representative,0,representative:alpha=0.15:beta=4e-06,6,2,1,15,0.15,4e-06,0.95,0.25,0.1,10006,10000000,10000000,100000,False,10000000,3,0.972924150464187,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,4.818370400000276,2026-05-30T18:09:03.160202+00:00,2026-05-30T18:09:07.978814+00:00,unknown,,1.8668591405154715,1.8797748473261635,0.34059867891300477,0.3279716679171079,1.0267679376993342,0.9190803632290399,1.8151963132636324,1.8151963132636324
representative,0,representative:alpha=0.15:beta=4e-06,7,2,1,15,0.15,4e-06,0.95,0.25,0.1,10007,10000000,10000000,100000,False,10000000,2,0.7243499363505392,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,4.912088400000357,2026-05-30T18:09:03.170203+00:00,2026-05-30T18:09:08.082297+00:00,unknown,,1.6989537895231375,1.7570750513927127,0.32490934698545637,0.2853673786845795,0.8929638172399433,0.555736055461135,1.8151963132636324,1.8151963132636324
representative,0,representative:alpha=0.15:beta=4e-06,8,2,1,15,0.15,4e-06,0.95,0.25,0.1,10008,10000000,10000000,100000,False,10000000,2,0.8259622603672541,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,4.8411605000001146,2026-05-30T18:09:03.239203+00:00,2026-05-30T18:09:08.080296+00:00,unknown,,1.7570750513938647,1.8151963132646065,0.3383650762209965,0.29574095267160616,1.0077189912534292,0.6442055294810788,1.8539438211767738,1.776448805350491
representative,0,representative:alpha=0.15:beta=4e-06,9,2,1,15,0.15,4e-06,0.95,0.25,0.1,10009,10000000,10000000,100000,False,10000000,1,0.9809839251393688,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,4.949580499996955,2026-05-30T18:09:03.264203+00:00,2026-05-30T18:09:08.213297+00:00,unknown,,1.892691329091976,1.853943821178618,0.3167084369424495,0.35375202328186994,0.8230235826691915,1.138944267609546,1.892691329089915,1.8539438211767738
