cell_id,session,n,k,m,alpha,beta,delta,mu,xi,seed,convergence_window,max_periods,eval_periods,converged,periods_to_convergence,detected_cycle_length,profit_gain_mean,p_n,p_m,discrete_nash_action_0,discrete_nash_action_1,discrete_monopoly_action_0,discrete_monopoly_action_1,discrete_nash_price_0,discrete_nash_price_1,discrete_monopoly_price_0,discrete_monopoly_price_1,pi_n_0,pi_n_1,pi_m_0,pi_m_1,long_run_avg_price_0,long_run_avg_price_1,long_run_avg_profit_0,long_run_avg_profit_1,profit_gain_delta_0,profit_gain_delta_1,last_price_0,last_price_1
0,0,2,1,15,0.15,4e-06,0.95,0.25,0.1,0,100000,100000,2000,False,100000,18,0.3181236035238063,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5611482776311234,1.6063472456118184,0.27077997755882904,0.2442318227629075,0.43132958701284047,0.2049176200347721,1.5827112657847844,1.5052162499585016
0,1,2,1,15,0.15,4e-06,0.95,0.25,0.1,1,100000,100000,2000,False,100000,4,0.2816907052246553,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5537475036197135,1.563395633090073,0.2554242357396883,0.251043614925857,0.30037043989301326,0.2630109705562973,1.6214587736979258,1.6989537895242084
0,2,2,1,15,0.15,4e-06,0.95,0.25,0.1,2,100000,100000,2000,False,100000,13,0.3718016559590414,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.6274646374244794,1.5650617759303587,0.24906484912421906,0.2785350954039786,0.24613536241020492,0.4974679495078779,1.660206281611067,1.7377012974373498
0,3,2,1,15,0.15,4e-06,0.95,0.25,0.1,3,100000,100000,2000,False,100000,15,0.3294156408327943,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5648292908828838,1.5980165314105101,0.26795554489755447,0.2497043729988982,0.4072418355531979,0.25158944611239065,1.6214587736979258,1.5052162499585016
0,4,2,1,15,0.15,4e-06,0.95,0.25,0.1,4,100000,100000,2000,False,100000,1,0.4462291789609534,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.6211294198807242,1.5826531445229586,0.26027393402303967,0.2847801533060389,0.34173036626169734,0.5507279916602095,1.6214587736979258,1.5827112657847844
0,5,2,1,15,0.15,4e-06,0.95,0.25,0.1,5,100000,100000,2000,False,100000,9,0.24534742083159689,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5396434107393486,1.5568473042527775,0.25341220166263473,0.24453271487767878,0.2832111082364649,0.20748373342672885,1.543963757871643,1.5827112657847844
0,6,2,1,15,0.15,4e-06,0.95,0.25,0.1,6,100000,100000,2000,False,100000,6,0.3137590175562813,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.589240220868179,1.5572929005937763,0.24707278099149385,0.2669154718081527,0.2291463073232604,0.3983717277893023,1.5052162499585016,1.6214587736979258
0,7,2,1,15,0.15,4e-06,0.95,0.25,0.1,7,100000,100000,2000,False,100000,7,0.2905074835959234,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5550455451348257,1.5660692111361303,0.2590743179194708,0.2494611725455594,0.33149961976667824,0.24951534742516848,1.427721234132219,1.427721234132219
0,8,2,1,15,0.15,4e-06,0.95,0.25,0.1,8,100000,100000,2000,False,100000,4,0.23044016739397932,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.5438862628558137,1.5439831316255954,0.2484407203360476,0.2460082672820792,0.24081257340043,0.22006776138752862,1.543963757871643,1.543963757871643
0,9,2,1,15,0.15,4e-06,0.95,0.25,0.1,9,100000,100000,2000,False,100000,1,0.3113593155450393,1.472926660030884,1.9249809190175329,1,1,13,13,1.4664687420453604,1.4664687420453604,1.9314388370030566,1.9314388370030566,0.22020400846622798,0.22020400846622798,0.337459978414553,0.337459978414553,1.6599350490555969,1.5056812200535248,0.2121602457758006,0.3012652482500157,-0.06860002688112424,0.6913186579712028,1.660206281611067,1.5052162499585016
