step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.0,0.3811522600189783,0.22133774776768406,0.15981451225129423,1.6987527846321464,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.0120867775678635,0.4179651337086689,0.8429056911850348,2.0120867775678635,0.0,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.0,0.3815493697486818,0.22114981415565127,0.16039955559303054,1.6984991097226738,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.0153773468732834,1.2358443681001663,2.513237249135971,2.0153773468732834,0.0,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.0,0.38238007853599265,0.2199968550754711,0.16238322346052156,1.6963462013881654,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.011787038207054,2.0318907784223557,4.183199275016785,2.011787038207054,0.0,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.0,0.3825767527977005,0.21970290122868028,0.16287385156902018,1.6958031307477504,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.006982345342636,2.809329810142517,5.849300528049469,2.006982345342636,0.0,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.0,0.3830415311991237,0.21945330445375294,0.16358822674537077,1.6954326075594872,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.002628152132034,3.5783218853473664,7.51733383512497,2.002628152132034,0.0,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.0,0.383577786247246,0.2197171647681389,0.16386062147910707,1.6961881838534028,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9975086597204208,4.333744405031204,9.195734181404113,1.9975086597204208,0.0,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.0,0.3841571939815767,0.2187950305257691,0.1653621634558076,1.694432437542826,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9920773161649703,5.071299152851105,10.877008176803589,1.9920773161649703,0.0,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.0,0.38474443842610345,0.21880061058991124,0.16594382783619221,1.694661290017888,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9862593358755112,5.789364128112793,12.564790940284729,1.9862593358755112,0.0,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.0,0.3851191420541145,0.21834511812927668,0.1667740239248378,1.6938215590678156,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.980362913250923,6.496311034202575,14.266512984275819,1.980362913250923,0.0,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.0,0.3855904917437583,0.2179438800672069,0.1676466116765514,1.693161640368402,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9754378064870834,7.202526840686798,15.98712005329132,1.9754378064870834,0.0,,,,,,,,,,,,,,,,,,,,,
