step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.0,0.38118769247364254,0.2212120636807522,0.15997562879289035,1.6985021367035806,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.010695796251297,0.4169042530721053,0.8429636749661295,2.010695796251297,0.0,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.0,0.38173625761969016,0.22070834815187845,0.1610279094678117,1.6976515079215169,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.013128214240074,1.2310754237174988,2.514912408590317,2.013128214240074,0.0,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.0,0.3820978508489206,0.22026060164207592,0.16183724920684472,1.696820858359337,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.010804458975792,2.027831337094307,4.1810425157547,2.010804458975792,0.0,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.0,0.3825762326037511,0.22047167554311453,0.1621045570606366,1.6974141795430333,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.007251602649689,2.811751875638962,5.850701632976532,2.007251602649689,0.0,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.0,0.38315720174927265,0.21991030894394498,0.16324689280532767,1.6964448864031583,1.9314388036727905,0.0,,,,0.0,0.0,0.0,2.0028877878189086,3.577834107875824,7.519807274818421,2.0028877878189086,0.0,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.0,0.3835818516542204,0.2188359772611875,0.16474587439303287,1.6943434394877404,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.997214675784111,4.324484226703643,9.191959100723267,1.997214675784111,0.0,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.0,0.38418432761961596,0.21926761183841154,0.1649167157812044,1.695456219440326,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9916710616350175,5.0617661595344545,10.874800937652587,1.9916710616350175,0.0,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.0,0.3847533453013748,0.21780971316760406,0.16694363213377073,1.6925658974871038,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.986122288942337,5.785453011035919,12.564271075248719,1.986122288942337,0.0,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.0,0.38512895843107253,0.2182182621936081,0.16691069623746443,1.6935642512384803,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9801375287771226,6.489598012447357,14.264113369941711,1.9801375287771226,0.0,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.0,0.38569189185649155,0.21743724568828474,0.16825464616820682,1.6921221176218242,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.974898965358734,7.197911890029907,15.99566558933258,1.974898965358734,0.0,,,,,,,,,,,,,,,,,,,,,
11000,0.8004904999999999,0.0,0.3861929251118563,0.21723847007460426,0.16895445503725204,1.6918605714589356,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9695102388858796,7.876779451847076,17.721679323196412,1.9695102388858796,0.0,,,,,,,,,,,,,,,,,,,,,
12000,0.7814904999999999,0.0,0.38659215639578176,0.21754100015712902,0.16905115623865277,1.6926312840133906,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9648930991888047,8.559913307189941,19.48043014717102,1.9648930991888047,0.0,,,,,,,,,,,,,,,,,,,,,
13000,0.7624905,0.0,0.3871849158164114,0.21671419694530777,0.1704707188711036,1.69112557990849,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.960409102678299,9.233225980758666,21.26175884437561,1.960409102678299,0.0,,,,,,,,,,,,,,,,,,,,,
14000,0.7434904999999999,0.0,0.3878077173116617,0.21674876833206508,0.17105894897959661,1.691389547372237,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.955600957274437,9.896434000015258,23.089349304199217,1.955600957274437,0.0,,,,,,,,,,,,,,,,,,,,,
15000,0.7244905,0.0,0.38831929638050494,0.21554496778233442,0.17277432859817055,1.6890531936939805,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9508596462011338,10.53859130859375,24.91132577896118,1.9508596462011338,0.0,,,,,,,,,,,,,,,,,,,,,
16000,0.7054905,0.0,0.38889516041986644,0.2155637888064375,0.17333137161342893,1.6892844680752606,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9459969484806061,11.189946544647217,26.80189656829834,1.9459969484806061,0.0,,,,,,,,,,,,,,,,,,,,,
17000,0.6864905,0.0,0.3893785234531388,0.21510313148039858,0.17427539197274017,1.6884974093660712,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.940623283624649,11.82388579082489,28.725183410644533,1.940623283624649,0.0,,,,,,,,,,,,,,,,,,,,,
18000,0.6674905,0.0,0.3897724083499052,0.214724973571836,0.17504743477806914,1.687833858154714,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9353808791637421,12.444724186897277,30.6382274017334,1.9353808791637421,0.0,,,,,,,,,,,,,,,,,,,,,
19000,0.6484905,0.0,0.39053939599171283,0.21391525258333421,0.1766241434083786,1.6863965675104409,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.929407496213913,13.081345502853393,32.66972986793518,1.929407496213913,0.0,,,,,,,,,,,,,,,,,,,,,
20000,0.6294905000000001,0.0,0.39111091650044544,0.214008533655433,0.17710238284501248,1.6867779884114862,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.9228209702968597,13.688100057601929,34.70914379882812,1.9228209702968597,0.0,,,,,,,,,,,,,,,,,,,,,
21000,0.6104905,0.0,0.3914974077451043,0.21332973105250858,0.1781676766925957,1.6854811578318476,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.916271340727806,14.279036949157716,36.74927661132813,1.916271340727806,0.0,,,,,,,,,,,,,,,,,,,,,
22000,0.5914905,0.0,0.3920006886580959,0.21295106943580322,0.17904961922229268,1.6848878364376725,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.909393450498581,14.886524555206298,38.919320358276366,1.909393450498581,0.0,,,,,,,,,,,,,,,,,,,,,
23000,0.5724905000000001,0.0,0.39258374671265484,0.21232253412390129,0.18026121258875355,1.6837556826770306,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.903307870864868,15.477001893997192,41.090159160614014,1.903307870864868,0.0,,,,,,,,,,,,,,,,,,,,,
24000,0.5534905,0.0,0.39316674588155004,0.21230839494382964,0.18085835093772037,1.6839336790647357,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.8974696395397186,16.07624477291107,43.382985622406004,1.8974696395397186,0.0,,,,,,,,,,,,,,,,,,,,,
25000,0.5344905,0.0,0.39379194370238113,0.21189693824504502,0.18189500545733608,1.6832646790388972,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.8922668700218201,16.682806962013245,45.78370985031128,1.8922668700218201,0.0,,,,,,,,,,,,,,,,,,,,,
26000,0.5154905,0.0,0.3943515264936723,0.21104166253807488,0.1833098639555974,1.6816730040423573,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.8877178279161453,17.24245181274414,48.1508832244873,1.8877178279161453,0.0,,,,,,,,,,,,,,,,,,,,,
27000,0.4964905,0.0,0.39486698973039164,0.21066386411630084,0.18420312561409083,1.6810530440732836,1.9314388036727905,0.0,,,,0.0,0.0,0.0,1.8837654200792313,17.821181176185608,50.63036971664429,1.8837654200792313,0.0,,,,,,,,,,,,,,,,,,,,,
