alpha_0,alpha_1,benchmarks,beta_0,beta_1,condition,converged,delta_0,delta_1,detected_cycle_length,distance_to_monopoly_price,distance_to_nash_price,eval_periods,final_avg_price_oracle,final_avg_price_victim,final_avg_profit_oracle,final_avg_profit_victim,final_market_price_mean,final_profit_asymmetry,final_profit_gain_oracle,final_profit_gain_victim,m,market_config,max_periods,periods_to_convergence,seed,out_dir
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.1291583597106245,0.32289589927602447,100000,1.7764488053508016,1.8151963132630151,0.342749076301613,0.30818703057962304,1.7958225593069084,0.034562045721989954,1.0451072801614358,0.7503500431762186,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,10,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_10
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.14853211366709007,0.3035221453195589,100000,1.8151963132630151,1.7377012974378705,0.2869513689513695,0.35403750568699077,1.7764488053504428,-0.06708613673562125,0.5692448795106745,1.1413789615978063,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,11,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_11
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.14853211366673125,0.3035221453199177,100000,1.7764488053508016,1.7764488053508016,0.32232067662057773,0.32232067662057773,1.7764488053508016,0.0,0.8708867292586706,0.8708867292586706,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,12,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_12
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.18727962157966238,0.2647746374069866,100000,1.7377012974378705,1.7377012974378705,0.31388611020615,0.31388611020615,1.7377012974378705,0.0,0.7989537912756846,0.7989537912756846,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,13,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_13
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.2066533755373936,0.24540088344925537,100000,1.7183275434800578,1.7183275434802208,0.30508979528452557,0.2937450152113717,1.7183275434801393,0.01134478007315387,0.7239357352611296,0.6271834754132639,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,14,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_14
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,3,0.11624207168463618,0.3358121873020128,100000,1.802280993926638,1.8151967007391554,0.33241453593733383,0.32142780348982086,1.8087388473328967,0.01098673244751297,0.9569706985542595,0.8632719943232097,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,15,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_15
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.17759274460158503,0.27446151438506394,100000,1.6989537895236666,1.7958225593082293,0.349131724670391,0.2714734745405811,1.7473881744159478,0.07765825012980992,1.0995407420277343,0.43724397228514394,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,16,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_16
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.3228958992777895,0.12915835970885947,100000,1.5439637578698124,1.660206281609674,0.30397367344360393,0.23174571469176627,1.6020850197397434,0.07222795875183766,0.7144170570956296,0.09843171508132807,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,17,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_17
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.10978460575260973,0.34226965323403924,100000,1.7377012974378705,1.892691329091976,0.3906932295423413,0.25433808228961685,1.8151963132649231,0.13635514725272446,1.453991819361081,0.291107342666065,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,18,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_18
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.1921230600704229,0.25993119891622607,100000,1.7280144204586463,1.7377012974355737,0.3015141503233529,0.2965137865492897,1.73285785894711,0.005000363774063155,0.6934413820717058,0.6507965276027451,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,19,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_19
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.1921230600690409,0.2599311989176081,100000,1.708640666503356,1.7570750513936277,0.3258875484592224,0.2818821920730451,1.732857858948492,0.04400535638617731,0.9013062621849396,0.5260131627754121,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,20,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_20
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.2841483913616898,0.16790586762495918,100000,1.660206281609674,1.6214587737020123,0.2723040287794014,0.29929402987890524,1.640832527655843,-0.026990001099503835,0.44432722987267964,0.6745074169573833,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,21,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_21
