condition,detected_cycle_length_mean,detected_cycle_length_std,detected_cycle_length_min,detected_cycle_length_max,distance_to_monopoly_price_mean,distance_to_monopoly_price_std,distance_to_monopoly_price_min,distance_to_monopoly_price_max,distance_to_nash_price_mean,distance_to_nash_price_std,distance_to_nash_price_min,distance_to_nash_price_max,final_avg_price_oracle_mean,final_avg_price_oracle_std,final_avg_price_oracle_min,final_avg_price_oracle_max,final_avg_price_victim_mean,final_avg_price_victim_std,final_avg_price_victim_min,final_avg_price_victim_max,final_avg_profit_oracle_mean,final_avg_profit_oracle_std,final_avg_profit_oracle_min,final_avg_profit_oracle_max,final_avg_profit_victim_mean,final_avg_profit_victim_std,final_avg_profit_victim_min,final_avg_profit_victim_max,final_market_price_mean_mean,final_market_price_mean_std,final_market_price_mean_min,final_market_price_mean_max,final_profit_asymmetry_mean,final_profit_asymmetry_std,final_profit_asymmetry_min,final_profit_asymmetry_max,final_profit_gain_oracle_mean,final_profit_gain_oracle_std,final_profit_gain_oracle_min,final_profit_gain_oracle_max,final_profit_gain_victim_mean,final_profit_gain_victim_std,final_profit_gain_victim_min,final_profit_gain_victim_max,periods_to_convergence_mean,periods_to_convergence_std,periods_to_convergence_min,periods_to_convergence_max,completed_seeds
alpha_o0.03_v0.15,1.74,1.1859446220058705,1,7,0.19026223425023503,0.05392496758004176,0.09041085179671637,0.3228962867509191,0.26179202473641394,0.053924967580041776,0.1291579722357299,0.3616434071899326,1.7274212348605094,0.058567028100700046,1.5439637578698124,1.853943821178618,1.7420161346740863,0.05783567024616116,1.621458386223234,1.892691329091976,0.313271692045038,0.021796443088314875,0.2624356177366136,0.3906932295423413,0.30269869330315236,0.02286126445114037,0.23174571469176627,0.35403750568699077,1.7347186847672977,0.0539249675800418,1.6020846322666138,1.8345700672208165,0.010572998741885654,0.03492254907985193,-0.07630723818254387,0.13635514725272446,0.7937138178962246,0.18588770446332606,0.3601659624580071,1.453991819361081,0.7035435796853667,0.19496887417515182,0.09843171508132807,1.1413789615978063,10000000.0,0.0,10000000,10000000,100
alpha_o0.15_v0.03,1.84,1.1952769004238593,1,7,0.19070916931767312,0.05562676667468069,0.0904108517965656,0.3228958992777895,0.2613450896689759,0.0556267666746807,0.12915835970885947,0.36164340719008337,1.7427200490261092,0.060879052688885486,1.6214587736972335,1.8926913290913088,1.7258234503736105,0.05891690345091217,1.5439637578698124,1.853943821178618,0.30127016143180707,0.02295286657507035,0.23174571469176627,0.362421066468483,0.31372733354269744,0.02317895902408918,0.2580489754673581,0.37925508975604894,1.7342717496998596,0.05562676667468067,1.6020850197397434,1.8345700672209673,-0.01245717211089036,0.03542732978431757,-0.10629815652323932,0.07006825316130616,0.6913605593071733,0.19575008918680853,0.09843171508132807,1.2128769056699664,0.7975996882519961,0.19767828481828434,0.32275514003942396,1.3564433551649024,10000000.0,0.0,10000000,10000000,100
delta_o0.70_v0.95,2.13,1.2362782204600378,1,8,0.24347805580589363,0.08718513160834461,0.05166334388284177,0.4003909151022309,0.20857620318075532,0.08718513160834461,0.05166334388441807,0.4003909151038072,1.6816142138626293,0.08973366066049131,1.5181327317222502,1.900440830673761,1.6813915125606491,0.08996943096912045,1.5245900039152962,1.892691329091976,0.29128887816618704,0.028252029570853925,0.24055943267616559,0.3527226209521584,0.2896384215251382,0.026109659729809307,0.2380157927585005,0.362421066468483,1.681502863211639,0.08718513160834461,1.524590003915302,1.873317575134691,0.001650456641048883,0.029894501023800053,-0.07006825316130616,0.06366605281640253,0.6062366780240387,0.24094320812240655,0.173598190513526,1.1301651638234853,0.592161005443988,0.22267232739890255,0.15190513796544605,1.2128769056699664,10000000.0,0.0,10000000,10000000,100
delta_o0.95_v0.70,2.39,1.7226653063133763,1,9,0.22887766869945345,0.08789204369987492,0.012915835971991418,0.39554747661377077,0.22349948618650367,0.08873672495313394,0.056506782372878206,0.4681990539520571,1.7055972357442648,0.0965011948412599,1.5245900039153262,1.9701863449203258,1.6872550566905105,0.08766683022707046,1.5245900039153077,1.9120650830455561,0.2858302741494398,0.024899116159327866,0.23174571469176627,0.36555888860140234,0.3018920800258267,0.031891299804289466,0.23174571469176627,0.36870856594108453,1.6964261462173875,0.08873672495313391,1.5294334424037621,1.941125713982941,-0.016061805876386833,0.03556208937918173,-0.09893636428425079,0.07222795875183766,0.5596837901910964,0.21234838763690214,0.09843171508132807,1.2396373523602475,0.6966644990067354,0.271980179928954,0.09843171508132807,1.2664989044080472,10000000.0,0.0,10000000,10000000,100
