alpha_0,alpha_1,benchmarks,beta_0,beta_1,condition,converged,delta_0,delta_1,detected_cycle_length,distance_to_monopoly_price,distance_to_nash_price,eval_periods,final_avg_price_oracle,final_avg_price_victim,final_avg_profit_oracle,final_avg_profit_victim,final_market_price_mean,final_profit_asymmetry,final_profit_gain_oracle,final_profit_gain_victim,m,market_config,max_periods,periods_to_convergence,seed,out_dir
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,2,0.342269653232979,0.10978460575367,10000,1.602085019741127,1.5633375118279809,0.2538035256729927,0.2772767239123317,1.582711265784554,-0.02347319823933902,0.2865484565227007,0.4867361164745455,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,0,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_0
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,1,0.28414839136316283,0.16790586762348614,10000,1.6602062816109846,1.6214587736977557,0.27230402878011817,0.2992940298786305,1.64083252765437,-0.02699000109851235,0.4443272298787924,0.6745074169550404,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,1,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_1
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,4,0.3471189038482674,0.10493535513838159,10000,1.582699641532237,1.5730243888062942,0.25657369654781503,0.26755047523455483,1.5778620151692655,-0.010976778686739797,0.3101734444533209,0.40378725952454747,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,2,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_2
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,3,0.3035376443228768,0.1485166146637722,10000,1.6731053269953204,1.5697812223939915,0.2378685756637205,0.30461387245594207,1.621443274694656,-0.06674529679222158,0.15064961899404636,0.7198768986083499,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,3,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_3
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,2,0.34225996635600064,0.10979429263064833,10000,1.5633530108311462,1.6020888944919183,0.2772765498958285,0.2538105149236583,1.5827209526615322,0.023466034972170202,0.4867346324008281,0.2866080633015171,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,4,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_4
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,3,0.38100166214289377,0.0710525968437552,10000,1.5052433732139885,1.58271514053529,0.2627636018206861,0.2286033232278297,1.543979256874639,0.03416027859285639,0.3629631256576038,0.0716322995349688,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,5,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_5
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,10,0.35583128100256634,0.09622297798408264,10000,1.5749617642019411,1.563337511827992,0.2510612235570197,0.26218067701600567,1.5691496380149665,-0.011119453458985962,0.2631611431331861,0.35799173865754474,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,6,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_6
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,1,0.3228958992764057,0.12915835971024325,10000,1.5827112657844986,1.6214587736977557,0.28496808354428954,0.2602818083345946,1.6020850197411272,0.024686275209694963,0.5523307265856335,0.3417975211499165,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,7,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_7
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,4,0.3180660224149181,0.13398823657173087,10000,1.6407976548973526,1.573032138307877,0.24171229155348697,0.29068653838696284,1.6069148966026148,-0.04897424683347587,0.18343017499866102,0.6010997133177669,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,8,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_8
0.15,0.03,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.15_v0.03,False,0.95,0.95,3,0.3358298174178147,0.11622444156883427,10000,1.5827035162829888,1.5955986869164478,0.271193785390365,0.2639313717192952,1.5891511015997182,0.007262413671069778,0.43485868520475607,0.3729222765573299,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,9,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.15_v0.03\seed_9
